manifesto_id,party_id,partyname,election_date,year,language,cmp_code,text
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Die Zukunft liegt in einer neuen Verteilungsgerechtigkeit, um die verschiedenen Formen der Erwerbsarbeit und andere produktive Tätigkeiten wie die Familien- und Pflegearbeit und Phasen der Qualifizierung rechtlich und finanziell abzusichern, miteinander zu verzahnen und die Übergänge zu erleichtern"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Diskriminierungen von MigrantInnen und Menschen mit Behinderung, sowie Arbeitsverbote für AsylbewerberInnen wollen wir beseitigen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Dabei setzen wir in der Arbeitspolitik drei Schwerpunkte: ? Arbeit gerecht verteilen,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,und dem Ziel einer gerechteren Verteilung der Arbeit dienen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"So kann ein vielfältiges Angebot von Wahlarbeitszeiten und Modellen wie Jobsharing, Freistellungen oder individuelle Arbeitszeitverkürzung zur Weiterbildung, Kindererziehung und Pflege sowie neue Modelle der ”Alters- und Berufsanfängerteilzeit” entstehen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Angesichts großer Einkommensunterschiede kann für die unteren und mittleren Lohngruppen die wirksame Durchsetzung der Arbeitszeitverkürzung nur durch einen finanziellen Ausgleich erreicht werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,Durch eine Erhöhung der Ausgleichsabgabe für nicht-besetzte Pflicht-Arbeitsplätze für Schwerbehinderte soll der Anreiz zur Einstellung schwerbehinderter ArbeitnehmerInnen gesteigert werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Frauen sind gleichberechtigt zu fördern
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Gleichstellung von Frauen gefördert werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Die Finanzierung der Arbeitsmarktpolitik kann nicht einseitig auf die BeitragszahlerInnen der Sozialversicherungen abgewälzt werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Daher muß neben der Einbeziehung aller in die Sozialsysteme ein beträchtlicher Teil aus Steuermitteln finanziert werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Mit der Ausweitung der Steuerfinanzierung von Arbeitsmarktpolitik wird der Versicherungscharakter der Arbeitslosenversicherung nicht in Frage gestellt
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"BÜNDNIS 90/DIE GRÜNEN halten an den Prinzipien der Beitragsfinanzierung, der geteilten Beitragserhebung und der solidarischen Umverteilung innerhalb der Arbeitslosenversicherung fest"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Das Produktivvermögen ist in der Bundesrepublik Deutschland einseitig verteilt
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Eine kleine Minderheit bestimmt über das Wie und Was der Produktion
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Diese Konzentration wirtschaftlicher Macht führt zur Verzerrung vieler Marktprozesse und beeinträchtigt die demokratische Gleichheit der politischen Teilnahme aller
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Besondere Zielgruppe grüner Existenzgründungspolitik sind Frauen, die sich beruflich eine selbständige Existenz aufbauen wollen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Frauen verfügen häufig über weniger Eigenkapital und weniger Erfahrung in Führungspositionen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Während einem Existenzgründer oft eine Frau den Rücken stärkt, leisten viele Frauen neben ihrer Selbständigkeit zusätzlich Haus- und Familienarbeit"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Existenzgründungsförderung muß diese spezifische Situation von Frauen berücksichtigen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Sowohl in der Analyse als auch in den Leitbildern und bei den Projekten der regionalen Entwicklungskonzepte sind Fraueninteressen gleichberechtigt zu berücksichtigen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Vor dem Hintergrund dieser großen Aufgaben und der geteilten wirtschaftlichen Entwicklung in Ost und West ist die Senkung des Solidaritätszuschlags - des einzigen Beitrages, den auch Beamte und Selbständige leisten - unsoziale Klientelpolitik"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,und der Abbau sozialer Ungerechtigkeit
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"? die gerechte Verteilung der Finanzierung öffentlicher Ausgaben,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,und eine stärkere Steuerfinanzierung der Sozialversicherungen (statt aus Abgaben auf Arbeit)
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Ein nur halbherziger Abbau von Steuervergünstigungen, noch mehr Profit für Besserverdienende und eine Nettoentlastungslüge von 40 Milliarden DM, das war das Konzept der Bundesregierung"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Diese ”Reform” haben wir zu Recht gemeinsam mit der SPD im Bundesrat verhindert
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Die soziale Schieflage, die die Kohlregierung verursacht hat, muß korrigiert werden: Statt immer neuer Entlastungen für hohe Einkommen und Vermögen, müssen endlich kleine bis mittlere Einkommen steuerlich entlastet werden"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,BÜNDNIS 90/DIE GRÜNEN wollen:? den radikalen Abbau von Steuervergünstigungen – alle Einkünfte sollen gleich behandelt werden;
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,? das Ehegattensplitting abschaffen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Gerechtigkeit ist möglich: Die von uns vorgeschlage Verbreiterung der Bemessungsgrundlage und der Abbau von Steuervergünstigungen und Ausnahmeregelungen werden in Zukunft verhindern, daß Einkommensmillionäre in Deutschland keinen Pfennig Steuern zahlen müssen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Die Profiteure der Steuerschlupflöcher werden zur Kasse gebeten
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"BÜNDNIS 90/DIE GRÜNEN wollen mit einer Reform der Erbschaft- und Schenkungsteuer größere Verteilungsgerechtigkeit erreichen: Das Vermögen, das vererbt oder verschenkt wird, soll nach seinem tatsächlichen Ertragswert besteuert werden"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Unverheiratete Paare dürfen bei der Steuerveranlagung gegenüber Ehepaaren nicht länger benachteiligt werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Durch höhere Freibeträge wird sichergestellt, daß kleinere Privatvermögen nicht besteuert werden"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,BÜNDNIS 90/DIE GRÜNEN wollen die Vermögensteuer in Höhe von einem Prozent wieder einführen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Vermögen bis zu 400|000 DM soll steuerfrei bleiben
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Denn durch den Strukturwandel in der Arbeitswelt, die zunehmende Internationalisierung und das Aufbrechen traditioneller familiärer Bindungen haben sich die Rahmenbedingungen für eine gerechte Verteilung von Chancen und für soziale Sicherheit verändert"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Die letzten Jahrzehnte haben in beiden Teilen Deutschlands zu positiven Veränderungen der Lebenssituationen von Frauen geführt
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,BÜNDNIS 90/DIE GRÜNEN haben sich für diese Veränderungen als wichtige Schritte der Emanzipation eingesetzt
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Dennoch bleiben Frauen in vielen Bereichen benachteiligt
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Mehr noch: Im Osten der Republik bedeutet die Deutsche Einheit für Frauen einen Rückschritt – sie sind von der Massenarbeitslosigkeit besonders betroffen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Unsere Sozialpolitik bezieht die spezifische Situation von Frauen als Grundelement ein: Wir wollen die Sicherungssysteme so reformieren, daß sie sich an den Lebens- und Erwerbsverläufen von Frauen orientieren"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Denn nach wie vor übernehmen Frauen den größten Anteil dieser wichtigen Tätigkeiten
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,Die Gleichberechtigung und Gleichstellung von Behinderten und Pflegebedürftigen ist für uns selbstverständlich
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,"Behinderung und Pflegebedürftigkeit darf nicht weiter dazu führen, daß Menschen in ihrer selbstbestimmten Lebensführung beschnitten werden"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,In Deutschland lebende AusländerInnen dürfen auch in der Sozialpolitik nicht diskriminiert werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,Flüchtlinge dürfen nicht weniger Hilfe zum Lebensunterhalt erhalten als bedürftige Deutsche
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,Das Leben mit Kindern wird in unserer Gesellschaft eher erschwert statt gefördert
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,"BÜNDNIS 90/DIE GRÜNEN setzen sich für Rahmenbedingungen ein, die es Müttern und Vätern und besonders Alleinerziehenden ermöglichen, bei einer persönlichen Entscheidung für Kinder weiter am gesellschaftlichen Leben, z|B| durch Erwerbsarbeit, teilzunehmen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,Wir wollen außerdem die Anrechnung von individuellen Kinderbetreuungskosten im Steuerrecht verbessern
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,"Damit Familie und Beruf vereinbar sind, müssen Eltern flexibler auf die Bedürfnisse ihrer Kinder und die Anforderungen von Beruf und Gesellschaft reagieren können"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,"Wir wollen dem völlig unzureichenden Erziehungsurlaub mit dem Anspruch auf ein Zeitkonto von drei Jahren, gekoppelt mit dem Recht auf Wiedereinstieg, eine Alternative entgegensetzen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,Ebenso soll die Möglichkeit der Reduzierung der wöchentlichen Arbeitszeit wegen Kinderbetreuung rechtlich verankert werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Frauen eine eigenständige Rente sichern
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,und die Lasten zwischen den Generationen neu verteilen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Diese Veränderungen wirken sich besonders für Frauen aus, die so (höhere) eigenständige Rentenansprüche erwerben"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Wir wollen die Altersabsicherung für alle durch erhöhte Zuschüsse aus Steuermitteln und durch Umschichtungen innerhalb des Systems finanzieren
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Konkret bedeutet dies, daß hohe Renten im Verhältnis schrittweise sinken müssen, um die Erhöhung niedriger Renten finanzieren zu können"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,Eine demokratische und emanzipatorische Gesellschaft muß für Behinderte Selbstbestimmung und umfassende gesellschaftliche Teilhabe (Integration) gewährleisten
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,Auch Pflegebedürftige müssen ihre Lebensumstände eigenständig bestimmen können
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,"Für unsere am Grundsatz der Emanzipation und Selbstbestimmung orientierte Behindertenpolitik stehen nicht die Kostenargumente im Vordergrund, sondern die Schaffung von Rahmenbedingungen, durch die den Betroffenen ein gleichberechtigtes Leben im Alltag ermöglicht wird"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,Wir wollen daher die Rechtsansprüche auf berufliche Rehabilitation für behinderte Jugendliche und Erwachsene in das Arbeitsförderungsrecht wieder einführen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,Werkstätten für Behinderte sollen vor allem ein Ort der Ausbildung und des Lernens werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,"Integrationsbetriebe, in denen Behinderte und Nichtbehinderte zusammen arbeiten, müssen gefördert werden"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,"Statt Behinderte aus Kostengründen in Heime und Einrichtungen abzuschieben, fordern wir das Recht für Behinderte und Pflegebedürftige, die Form ihrer Betreuung selbst zu wählen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,"Dazu gehört auch das Recht, mit den Pflegekräften ein Arbeitsverhältnis einzugehen (ArbeitgeberInnenmodell)"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per705,Auch dieser Form der Pflege muß ein Zugang zu den Sachleistungen der Pflegeversicherung eingeräumt werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Insbesondere behinderte und pflegebedürftige Frauen müssen das Recht haben, nur weibliche Pflegekräfte zu akzeptieren"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per604,"Wir wollen eine Umverteilung der öffentlichen Forschungsgelder, um auch alternative Heilmethoden zu fördern und zu entwickeln"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,Das Schüren nicht erfüllbarer Hoffnungen auf Heilung schwerkranker Menschen lehnen wir als unredlich und unverantwortlich ab
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,BÜNDNIS 90/DIE GRÜNEN lehnen Gentechnik in der Medizin weiterhin im Grundsatz ab
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,Die Bioethikkonvention des Europarates und die UNESCO-Deklaration lehnen wir ab
41113_199809,41113,Alliance‘90/Greens,199809,,german,per604,Wir fordern statt Nulltoleranz und Drogenkrieg eine Schadensreduzierung und Risikominimierung für die DrogengebraucherInnen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per604,"Wir fordern eine ehrliche und vorurteilsfreie Prävention und pragmatische Drogenhilfen wie Therapie, Spritzentausch, eine Ausweitung der Methadon- und die Sicherung der Codeinbehandlung, Räume zum risikominimierten Drogenkonsum und die ärztlich kontrollierte Drogenabgabe für langjährig Abhängige"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per604,Auch die Durchführung von Analysen synthetischer Drogen (Ecstasy u.a. ) ist ein wirksames Mittel der Schadensbegrenzung und Risikominimierung
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Der Wohnflächenverbrauch von Besserverdienenden steigt immer weiter an
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Gleichzeitig wächst die Zahl der Haushalte, die ihre Wohnkosten nicht mehr bezahlen können"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Sinkende Realeinkommen, Arbeitslosigkeit und Armut führen zu Wohnungsnot"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Seit Jahren übertreffen die Mietsteigerungen die Einkommenszuwächse
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Benachteiligte Haushalte zahlen bis zu 50% ihres Nettoeinkommens für Wohnkosten
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Durch einen bundeseinheitlichen Mietenausgleich wird eine gerechte, am Einkommen orientierte Wohnkostenbelastung angestrebt"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Die Mieten gemeinwirtschaftlicher Wohnungen liegen unter den ortsüblichen Vergleichsmieten
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Einkommensstärkere Haushalte zahlen einen Mietenausgleich
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Mit dem fatalen Prinzip Rückgabe vor Entschädigung und mit kostentreibenden Sonderabschreibungen hat die Kohl-Regierung eine gigantische Vermögensumverteilung von Ost nach West betrieben,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Das Ende der Bescheidenheit war angesagt, als grüne Frauen selbstbewußt das Selbstverständliche forderten: mindestens die Hälfte aller Ämter und Mandate in der Partei für Frauen und die Hälfte der existenzsichernden Arbeits- und Ausbildungsplätze"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Den ”Einbruch in die Männerwelt”: nichts weniger bedeutet der Aufbruch grüner Frauen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Dank ihrer Kompetenz und der 50%-Quote vertreten grüne Frauen ihre Bundestagsfraktion auch in der Wirtschafts- oder Außenpolitik
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Die Hälfte grüner Ministerien werden von Frauen geleitet
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"In der Folge kamen andere Parteien nicht umhin, ihre Frauen stärker zu beteiligen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Große Firmen brüsten sich längst mit ihren Frauenförderkonzepten,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"und der Öffentliche Dienst ist fast überall durch Gleichberechtigungsgesetze verpflichtet, Frauenbenachteiligung aktiv zu begegnen - wie es inzwischen sogar das Grundgesetz fordert"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Doch in vielen anderen Bereichen verstärkt die Regierung Kohl den Druck auf Frauen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Sie will ihr konservatives Familienbild erhalten, entsprechend sollen angesichts der Rekordarbeitslosigkeit Frauen ihren Arbeitsplatz für ”Familienernährer” räumen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,In den neuen Bundesländern wurde bereits die weibliche Erwerbstätigkeit auf das niedrigere Westniveau herabgedrückt
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Mit dem Erziehungsgeld wurde die Arbeit mit Kindern symbolisch anerkannt, die Verantwortung für die Erziehungsarbeit sollen offensichtlich Frauen weiterhin alleine tragen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Wie wenig ihr das Selbstbestimmungsrecht von Frauen wert ist, demonstrierte Frau Nolte mit ihrem Vorstoß zur erneuten Verschärfung des § 218"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Trotz Kohl sind Frauen heute selbstbewußt und mit großer Selbstverständlichkeit erwerbstätig
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Besonders junge Frauen werden künftig verstärkt vielfältige Lebensformen gestalten: Ausbildung, Erwerbstätigkeit, Engagement in Verbänden und Bürgerinitiativen, öffentliche Präsenz in Kultur und Sport sind für Frauen heute selbstverständlicher als früher"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Sie lassen sich zunehmend weniger von der Frage ”Kinder oder Karriere” in die Enge treiben und erwarten zu Recht von Staat, Wirtschaft und ihren eigenen LebenspartnerInnen die Vereinbarkeit von Familie und Beruf für beide Geschlechter"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,BÜNDNIS 90/DIE GRÜNEN wollen für die Vielfalt heutiger Lebensentwürfe die individuelle Absicherung durchsetzen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Das heißt: Wir wollen die Benachteiligung erziehender oder teilzeitarbeitender Frauen z.B. in den Sozialversicherungen zügig abbauen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Wer nicht ein Leben lang rund um die Uhr erwerbstätig ist, darf nicht länger bestraft werden"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,BÜNDNIS 90/DIE GRÜNEN engagieren sich in allen Politikfeldern im Interesse von Frauen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Grüne Frauenpolitik setzt auf eigenständige Lebensgestaltung
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Uns interessiert: was ist nötig, damit Frauen selbst ein Einkommen erzielen können, das ihre Existenz sichert"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Wir wollen Arbeit und Einkommen gerecht verteilen: Zwischen den ArbeitsplatzinhaberInnen und Arbeitslosen, Teilzeit- und Vollzeitbeschäftigten und natürlich zwischen Männern und Frauen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Eine generelle Arbeitszeitverkürzung in großen Schritten ist Voraussetzung, daß Frauen gleichberechtigten Zugang zu existenzsichernder Erwerbsarbeit erhalten und Männer in den Bereichen Haus-, Erwerbs-, Erziehungs- und Pflegearbeit ihre Verantwortung übernehmen können"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Frauen sind von der Erwerbslosigkeit besonders betroffen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,In Ostdeutschland sind zwei von drei Frauen erwerbslos
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Frauenlöhne liegen bis zu 30 % unter denen von Männern
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Frauenarbeit sichert häufig keine eigenständige Existenz
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Es muß deshalb das Prinzip gelten: Gleichwertige Arbeit – gleicher Lohn
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Die Bundesregierung verschärft mit den Regelungen ihrer Arbeitsförderungspolitik die strukturelle Benachteiligung von Frauen am Arbeitsmarkt
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Wie sehr sich die Politik der Regierung immer noch am männlichen Erwerbsleben orientiert, macht zum Beispiel das Arbeitsförderungs-Reformgesetz (AFRG) deutlich: Bisher wurden Zeiten, in denen Frauen Mutterschafts- oder Erziehungsgeld bezogen, einer beitragspflichtigen Beschäftigungszeit gleichgestellt"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Diese Zeit galt als Anwartschaft auf Arbeitslosengeld, Umschulung, Fortbildung und Rente"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Das AFRG nimmt dies nun zurück, Frauen werden damit systematisch aus der Arbeitslosenversicherung gedrängt"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Wir bleiben dabei: diese Neuregelung muß rückgängig gemacht werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Nicht ausreichend abgesicherte Teilzeitarbeit oder die sogenannten 620 DM (West) bzw 520 DM (Ost) -Jobs verhindern eine eigenständige Existenzsicherung von Frauen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Sie haben zur Folge, daß viele Frauen keinen Rentenanspruch haben oder im Alter auf Sozialhilfe angewiesen sind"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Die Quote bleibt ein Mittel, um Arbeit gerecht zu verteilen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Nach einem Urteil des Europäischen Gerichtshofes ist sie zulässig, und wir werden gerade im öffentlichen Dienst daran festhalten"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Dennoch sind wir uns im klaren darüber, daß gerade in Zeiten des Stellenabbaus Quotierung nur begrenzt wirksam werden kann"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Im Zuge einer umfassenden Verwaltungsreform wollen wir deshalb Frauenförderung zu einem wesentlichen Kriterium erheben
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Frauen dürfen bei sozialen Leistungen nicht als Anhängsel von Ehemännern behandelt werden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Die Abschaffung des Ehegattensplittings, das die Ehe subventioniert, nicht aber das Leben mit Kindern oder Pflegebedürftigen, ist längst überfällig"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Wir wollen die Abschaffung der Steuerklasse 5
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Aus der Sicht von Frauen waren die Leistungen des Rentensystems schon immer fragwürdig, da sie mit ihren Lebensläufen an der (männlichen) Norm scheiterten"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Wir wollen, daß sich die Rente an der Alltagsrealität von Frauen mißt"
